Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
STANDARD 1,,bray-p 1,0.0066,mgP/L,0.006626,Tue Oct 24 11:18:10 2023,1,1
STANDARD 90,,bray-p 1,0.0118,mgP/L,0.011798,Tue Oct 24 11:19:27 2023,1,1
STANDARD 91,,bray-p 1,0.0202,mgP/L,0.020202,Tue Oct 24 11:20:44 2023,1,1
STANDARD 92,,bray-p 1,0.0346,mgP/L,0.034631,Tue Oct 24 11:22:01 2023,1,1
STANDARD 93,,bray-p 1,0.0749,mgP/L,0.074932,Tue Oct 24 11:23:18 2023,1,1
STANDARD 94,,bray-p 1,0.1447,mgP/L,0.144736,Tue Oct 24 11:24:35 2023,1,1
STANDARD 95,,bray-p 1,0.2144,mgP/L,0.214415,Tue Oct 24 11:25:52 2023,1,1
STANDARD 96,,bray-p 1,0.2802,mgP/L,0.280182,Tue Oct 24 11:27:10 2023,1,1
STANDARD 0,,bray-p 1,0.0062,mgP/L,0.006238,Tue Oct 24 11:28:27 2023,1,1
C C V,,bray-p 1,0.5552,mgP/L,0.159304,Tue Oct 24 11:29:45 2023,1,1
C C B ,,bray-p 1,-0.0005,mgP/L,0.006584,Tue Oct 24 11:31:05 2023,1,1
T1.11.40 A,,bray-p 1,0.5654,mgP/L,0.162114,Tue Oct 24 11:55:46 2023,1,1
T1.25 .6 A,,bray-p 1,6.7944,mgP/L,0.193452,Tue Oct 24 16:01:28 2023,1,10
T1 380 A,,bray-p 1,0.9776,mgP/L,0.275416,Tue Oct 24 11:58:20 2023,1,1
T1 29 .4A,,bray-p 1,12.2932,mgP/L,0.175648,Tue Oct 24 16:02:49 2023,1,20
C C V,,bray-p 1,0.5652,mgP/L,0.162058,Tue Oct 24 12:00:54 2023,1,1
C C B ,,bray-p 1,-0.0024,mgP/L,0.006057,Tue Oct 24 12:02:14 2023,1,1
T3.40.A,,bray-p 1,28.0302,mgP/L,0.391915,Tue Oct 24 16:04:10 2023,1,20
T3.20.A,,bray-p 1,1.4063,mgP/L,0.199965,Tue Oct 24 13:34:24 2023,1,2
T3.24.A,,bray-p 1,2.7666,mgP/L,0.196811,Tue Oct 24 14:46:30 2023,1,4
T3.48A,,bray-p 1,9.582,mgP/L,0.270071,Tue Oct 24 16:05:31 2023,1,10
T4.4.A,,bray-p 1,3.2112,mgP/L,0.227361,Tue Oct 24 14:49:14 2023,1,4
T4 8.A,,bray-p 1,2.2823,mgP/L,0.163533,Tue Oct 24 14:50:35 2023,1,4
T4.24A,,bray-p 1,2.7795,mgP/L,0.197694,Tue Oct 24 14:54:38 2023,1,4
T4 28A,,bray-p 1,4.384,mgP/L,0.127204,Tue Oct 24 16:06:52 2023,1,10
BLANK A,,bray-p 1,-0.011,mgP/L,0.003675,Tue Oct 24 12:13:47 2023,1,1
T1 49A,,bray-p 1,6.7765,mgP/L,0.192962,Tue Oct 24 16:08:12 2023,1,10
C C V,,bray-p 1,0.5641,mgP/L,0.161742,Tue Oct 24 12:16:21 2023,1,1
C C B ,,bray-p 1,-0.0022,mgP/L,0.00609,Tue Oct 24 12:17:42 2023,1,1
T2 0 A,,bray-p 1,1.0809,mgP/L,0.155247,Tue Oct 24 13:47:52 2023,1,2
T4 12 A,,bray-p 1,2.5974,mgP/L,0.185183,Tue Oct 24 14:58:41 2023,1,4
T4 36 A,,bray-p 1,17.9793,mgP/L,0.25379,Tue Oct 24 16:09:09 2023,1,20
T4 16 A,,bray-p 1,1.2249,mgP/L,0.175039,Tue Oct 24 13:51:53 2023,1,2
T1 21.8,,bray-p 1,5.8673,mgP/L,0.167973,Tue Oct 24 16:10:11 2023,1,10
T3 28A,,bray-p 1,2.6825,mgP/L,0.191027,Tue Oct 24 15:02:42 2023,1,4
T3 36 A,,bray-p 1,9.3276,mgP/L,0.263077,Tue Oct 24 16:11:04 2023,1,10
T3 44A,,bray-p 1,9.0872,mgP/L,0.25647,Tue Oct 24 16:11:57 2023,1,10
T2 28 A,,bray-p 1,6.6006,mgP/L,0.188128,Tue Oct 24 16:12:50 2023,1,10
T1.18 A,,bray-p 1,0.7832,mgP/L,0.221981,Tue Oct 24 12:30:36 2023,1,1
C C V,,bray-p 1,0.555,mgP/L,0.159241,Tue Oct 24 12:31:54 2023,1,1
C C B ,,bray-p 1,-0.0025,mgP/L,0.00603,Tue Oct 24 12:33:14 2023,1,1
T4 40 A,,bray-p 1,8.2576,mgP/L,0.233669,Tue Oct 24 16:13:44 2023,1,10
T4 20 A,,bray-p 1,1.7682,mgP/L,0.249709,Tue Oct 24 14:03:59 2023,1,2
T3 16 A,,bray-p 1,1.8353,mgP/L,0.258924,Tue Oct 24 14:05:20 2023,1,2
T1 7.60  A,,bray-p 1,0.7288,mgP/L,0.207025,Tue Oct 24 12:38:28 2023,1,1
T3 12A,,bray-p 1,1.8995,mgP/L,0.267746,Tue Oct 24 14:06:40 2023,1,2
T1 33.2A,,bray-p 1,8.0441,mgP/L,0.227801,Tue Oct 24 16:14:37 2023,1,10
T1 14 .20A,,bray-p 1,0.7067,mgP/L,0.200937,Tue Oct 24 12:42:21 2023,1,1
T2.8.A,,bray-p 1,0.8597,mgP/L,0.242989,Tue Oct 24 12:43:42 2023,1,1
T2.16.A,,bray-p 1,1.6205,mgP/L,0.229413,Tue Oct 24 14:08:56 2023,1,2
T3.0.A,,bray-p 1,1.3812,mgP/L,0.196527,Tue Oct 24 14:09:57 2023,1,2
C C V,,bray-p 1,0.56,mgP/L,0.160632,Tue Oct 24 12:46:59 2023,1,1
C C B ,,bray-p 1,-0.0013,mgP/L,0.006343,Tue Oct 24 12:47:53 2023,1,1
T2 12 A,,bray-p 1,0.6722,mgP/L,0.191464,Tue Oct 24 12:48:46 2023,1,1
T3 4 A,,bray-p 1,2.784,mgP/L,0.198004,Tue Oct 24 15:11:21 2023,1,4
T1 42 A,,bray-p 1,8.2711,mgP/L,0.234041,Tue Oct 24 16:15:30 2023,1,10
T1 38 A,,bray-p 1,8.8485,mgP/L,0.24991,Tue Oct 24 16:16:23 2023,1,10
T2 24 A,,bray-p 1,7.8932,mgP/L,0.223654,Tue Oct 24 16:17:16 2023,1,10
T4 44.A,,bray-p 1,7.7686,mgP/L,0.220229,Tue Oct 24 16:18:09 2023,1,10
C C V,,bray-p 1,0.5695,mgP/L,0.163239,Tue Oct 24 12:54:06 2023,1,1
C C B ,,bray-p 1,-0.0018,mgP/L,0.006209,Tue Oct 24 12:54:59 2023,1,1
